Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467703910.61453,,,,,
Andorra,AND,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1022871401.93761,1070429536.96666,1157666822.22471,1247831302.28061,1317944270.10389,1325090206.69843,1368868423.74087,1407724771.11631,1428319832.5687,1428913249.71927,1460474058.82573,1458539387.76721,1476719523.0981,1502859168.80367,1529680509.57141,1565191061.36678,1616111761.51642,1705759462.17548,1792656379.78858,1879188446.01576,1950247955.3502,1999901280.7926,2018484671.13457,1997664169.00582,2045272407.14157,2101670670.58746,2199392933.59256,2398826713.99845,2475464141.15257,2576935425.08679,2606977004.92985,2765136580.02845,2942847625.89494,3296693262.49151,3562720066.76084,3842026792.01624,4018195653.51015,4021331428.40105,3675727910.50681,3535389132.60241,3346317328.52461,3185604581.52029,3129537611.8862,3127549907.58377,,
Afghanistan,AFG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8013233121.55065,8689883606.07776,8781610175.40574,9762978844.07633,10305228125.1392,11721187594.2052,12144482858.18,14697331940.6464,15936800636.2487,16911126453.2276,19352203805.6294,19731337260.6378,19990317160.6756,20294152243.0072
Angola,AGO,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,27308217745.3027,28072847844.34,30290602825.0746,31986876577.4349,32114824089.7994,32018479611.528,31634257859.5578,29451494066.6941,22176975036.2843,22953169160.1838,25340298757.1282,28178412209.4545,30404506776.7536,32473461135.5772,33525536222.4799,34535350910.2526,35993076035.6583,33494990431.6857,35252638225.9501,39087976314.0264,46226007691.4898,55811028114.6479,68420444001.4995,77874196512.1845,79753199398.1396,82470913120.7314,85702615836.4404,90120963241.2186,96261432368.2645,100886286610.958,103910558934.02
Albania,ALB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5442066397.01561,5754747683.12714,5924431989.29393,5989893305.38692,5914924001.80094,6020247738.65436,6359623744.65989,6309519916.50208,6219922230.18592,6831747927.65999,6177564327.59596,4349684961.91377,4036507645.2428,4424012379.66761,4791205407.03519,5428435725.51634,5922423376.53832,5280559675.00989,5756277509.39418,6533442515.91879,6969002334.99895,7522364217.14786,7840663356.0472,8293343315.50901,8766856444.58233,9268392517.27704,9771760095.12554,10348293941.5853,11127520474.2981,11500292411.1744,11926953258.916,12231090567.6672,12404772053.5014,12542465022.373,12793314322.8205,13120823169.4847
Arab World,ARB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,504080540840.201,569088448377.017,618308164556.033,630118644507.124,696827907385.495,767025354210.13,797530065391.646,772722659822.309,751191409377.482,764002490893.793,759937489519.296,763501007889.384,768117949343.168,797138536615.288,816491545845.494,904526682483.002,893741732982.078,939313990594.343,977340782354.334,1010938448987.13,1040517115375.35,1091067702545.7,1144095568878.75,1204541602908.16,1241255017859.18,1304960631320.79,1333688223086.75,1353674267141.27,1410983637863.28,1548396875130.44,1643639422413.74,1763823829113.09,1863481356326.67,1980983302945.67,2011001139577.91,2103824906396.06,2173896465634.17,2318266914690.42,2385579629422.56,2436659330416.81,2509068276527.7
United Arab Emirates,ARE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56055910245.8874,65320190085.0028,79324401299.9504,78063457999.0639,94397122679.5038,116934223224.751,122382395272.355,114159135175.852,108741347314.058,113109434263.341,109043742199.088,92732830339.853,95869037705.1546,93358316076.0813,104876763630.375,124098561674.11,125165910996.616,129352641718.644,130984025532.437,140016878503.469,149381048378.398,158042765139.576,170987097645.472,171486370299.358,176463271145.714,195614307991.47,198351118486.849,203177907295.223,221058661957.923,242206098797.029,253965546877.264,278948949835.963,287831772785.526,297018891707.595,281446423169.577,286049336038.121,300946210244.793,321692225022.966,335593704978.687,350931309582.38,362100323851.568
Argentina,ARG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,120673927320.45,127223918491.941,126139943323.372,119444186854.91,131544238522.592,145447719126.299,144488162457.236,149100219724.042,156290578985.581,171418766226.651,176639570427.751,186634068867.32,189673248869.714,195006394109.424,205797666516.856,205739195072.353,201586860647.408,215565191420.131,205851554864.042,226895272406.556,236315424883.12,222870192615.617,211822119301.931,220030487864.233,224897063895.035,207834849660.721,224203464830.873,230727770255.953,224828280645.809,207974726490.771,202985497616.637,228703171682.529,256012102225.073,271134531016.591,286958486408.097,278793915961.266,294201990940.983,318064852036.16,330310917747.868,319128383481.508,316610463953.677,302651616137.334,269679281785.538,293510949880.458,320013736305.838,349450164583.573,378814002617.524,408988709469.622,421564889399.94,421775774944.173,461640242696.171,500355477549.572,504367128523.16,518919894963.108,521273744038.474,
Armenia,ARM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357857589.67955,5613988348.21507,3267341064.35725,2979815090.15052,3140725188.15958,3357435176.11712,3554362204.05763,3672405405.53258,3940491000.13646,4070527203.14096,4310688308.12627,4722645335.72382,5345387542.756,6095922452.58145,6734033975.06956,7667755681.51717,8679746345.9219,9873142200.51879,10554389012.5207,9060944166.21841,9260284937.79781,9695518329.74637,10393595649.8063,10736584306.437,11112364757.0387,11445735699.8896
American Samoa,ASM,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
